Q7187 gene
Q3777705 glaucocerinite-mineral-group
Q3777682 durangite-mineral-group
Q3777674 devilline-mineral-group
Q3777668 coronadite-mineral-group
Q3777654 carpholite-mineral-group
Q3777653 carnotite-mineral-group
Q3777639 britholite-mineral-group
Q3777624 benjaminite-mineral-group
Q3777621 belovite-mineral-group
Q3777610 overite-mineral-group
Q3777603 olivenite-mineral-group
Q3777575 hexahydrite-mineral-group
Q3777543 ancylite-mineral-group
Q3777539 halotrichite-mineral-group
Q3777534 meneghinite-mineral-group
Q3777532 aeschynite-mineral-group
Q3777505 beryl-mineral-group
Q368442 compact-star
Q36465 flour
Q36439 Ngbandi-language
Q3629395 agricultural-tool
Q36192 0
Q36133 soil
Q356090 Reihendorf
Q3550897 lithostratigraphic-unit
Q354004 audio-storage-device
Q3539920 three-masted-ship
Q35390 Astur-Leonese-languages
Q352388 0
Q3515103 0
Q35140 performance
Q3505042 0
Q3502496 administrative-territorial-entity-of-Senegal
Q3500606 musical-structure
Q34651 Christian-Church
Q3450 0
Q3412078 crude-petroleum
Q34005 Samoyedic-languages
Q33850 Norman
Q338199 Late-Cretaceous
Q337979 power-sport
Q3362429 Geology-of-Europe
Q3341285 cue-sports
Q3327870 municipal-corporation-in-the-United-States
Q3320743 title-of-honor
Q3320659 Southern-Mongolian
Q329439 engraver
Q327245 team
Q3253485 administrative-territorial-entity-of-the-Democratic-Republic-of-the-Congo
Q3250324 deputy
Q3244175 tabletop-game
Q3217544 0
Q3217492 0
Q3217361 South-Halmahera-languages
Q32050 precision-guided-munition
Q3183152 Southern-Bantoid-languages
Q318028 shell
Q3133 0
Q3114821 high-priest
Q3111082 Aslian-languages
Q309100 planning
Q3088345 mixed-milk-cheese
Q3083218 European-French
Q3025953 0
Q2995267 homebuilt-aircraft
Q2990593 animal-behavior
Q29485 0
Q294414 public-official
Q2914471 appeal-to-emotion
Q28923 chart
Q282142 Glioblastoma-multiforme
Q28111 township-in-the-United-States
Q28108 political-system
Q27758 Southern-Athabaskan-languages
Q2766 iPhone
Q27639 Yeniseian-languages
Q2761147 meeting
Q2743 musical
Q27387 Northeast-Caucasian-languages
Q2737210 branch-of-sociology
Q2736 association-football
Q268378 0
Q267917 0
Q2657541 Numic-languages
Q2640574 plant-milk
Q262166 municipality-of-Germany
Q2619315 Synovial-sarcoma
Q2610084 Sideroblastic-anemia
Q2607197 fantasy-race
Q2599160 0
Q2571972 decree
Q2551094 hydro-power-machine
Q25448 Berber-languages
Q25433 Low-German
Q25379 play
Q2533461 autonomous-administrative-territorial-entity
Q25261 0
Q2453464 colitis
Q244393 dwarf-star
Q2391173 Palaungic-languages
Q238053 collision
Q2374149 botanist
Q234497 special-forces
Q2334719 legal-case
Q2312440 sportplane
Q2249149 electronic-game
Q223911 sarcoma
Q222910 compilation-album
Q2162595 0
Q215566 Continental-Celtic-languages
Q213853 0
Q212989 swimsuit
Q212980 psychologist
Q212961 pancreatic-cancer
Q21201 sociology
Q2119531 electrical-connector
Q211841 coffeemaker
Q211101 voice
Q21082498 spastic-ataxia
Q2107961 JT3D
Q20993315 F-16-Block-10-Fighting-Falcon
Q20974973 county-of-Australia
Q2096452 0
Q209369 Hodgkin's-lymphoma
Q208751 labiodental-consonant
Q208708 autogyro
Q208502 railroad-car
Q208165 collecting
Q20795192 0
Q20791149 Traditional-culture
Q205985 goddess
Q205961 Skill
Q202785 average
Q20078744 single-engine-transport-plane
Q20078720 single-engine-airplane
Q20036017 twin-engine-airliner
Q200092 horror-film
Q1999293 Bulldog
Q19890769 intercession
Q19832712 historical-administrative-division
Q19829980 religious-studies-scholar
Q19768182 ultralight-aircraft
Q1972868 fictional-lifeform
Q19678100 nerd-music
Q19605 halogen
Q1956088 air-cushioned-landing-craft
Q19541 search-engine
Q194302 clutch
Q19360016 Belgian-cheese
Q1930290 motor-glider
Q19280202 fast-patrol-boat
Q192443 Fairchild-A-10-Thunderbolt-II
Q192249 saddle
Q1916821 water-deity
Q190686 subroutine
Q19058944 Ford-4-AT
Q190109 field
Q19000411 cavernous-hemangioma
Q189760 voting
Q18975878 neuromuscular-disease
Q18975479 breast-disease
Q18975458 histiocytosis
Q18975180 idiopathic-interstitial-pneumonia
Q18975036 testicular-disease
Q18971509 focal-epilepsy
Q18971475 urogenital-tuberculosis
Q18968224 rectum-cancer
Q18968094 congenital-heart-disease
Q18968061 lymphadenitis
Q18968035 cognitive-disorder
Q18966882 heart-cancer
Q189294 group-13-element
Q188989 aquaculture
Q188745 Platonic-solid
Q187588 social-class
Q1867622 Ventura
Q186222 alpine-skiing
Q1862087 prisoner
Q18608406 mushing
Q18558040 metal-metabolism-disorder
Q18558026 salivary-gland-cancer
Q18557938 intestinal-obstruction
Q18557904 auditory-system-cancer
Q18557546 urinary-system-benign-neoplasm
Q18557204 combined-T-cell-and-B-cell-immunodeficiency
Q18557008 tympanic-membrane-disease
Q18556927 labyrinthine-dysfunction
Q18556754 colonic-disease
Q18556586 central-nervous-system-mesenchymal-non-meningothelial-tumor
Q18556498 benign-ependymoma
Q18556489 movement-disease
Q18556451 skin-hemangioma
Q18556437 malignant-mediastinal-neurogenic-neoplasm
Q18556328 central-nervous-system-germ-cell-tumor
Q18556196 parasitic-ectoparasitic-infectious-disease
Q18556143 Bartholin's-gland-carcinoma
Q18556115 lung-adenocarcinoma
Q18556110 lung-carcinoma
Q18556057 cervical-squamous-cell-carcinoma
Q18556045 ovary-adenocarcinoma
Q18555300 acute-porphyria
Q18555202 endocrine-system-disease
Q18555173 hepatic-vascular-disease
Q18555128 laryngeal-benign-neoplasm
Q18555126 larynx-cancer
Q18555110 inflammatory-and-toxic-neuropathy
Q18554997 vulva-squamous-cell-carcinoma
Q18554926 optic-nerve-disease
Q18554894 facial-nerve-disease
Q18554891 squamous-cell-carcinoma
Q18554834 penile-disease
Q18554760 cerebral-degeneration
Q18554617 sweat-gland-disease
Q18554497 Ehlers-Danlos-syndrome
Q18554389 rectal-disease
Q18554386 prolapse-of-female-genital-organ
Q18554249 peripheral-retinal-degeneration
Q18554145 familial-hyperlipidemia
Q18553999 esophageal-carcinoma
Q18553829 prostate-carcinoma
Q18553736 bone-remodeling-disease
Q18553668 vulvar-benign-neoplasm
Q18553650 endocrine-organ-benign-neoplasm
Q18553360 reproductive-organ-benign-neoplasm
Q18553357 paranasal-sinus-cancer
Q18553353 respiratory-system-cancer
Q18553228 monogenic-disease
Q18550719 general-aviation-twin-prop
Q18545670 Central-Ohio-Film-Critics-Association-Awards
Q18536315 side-by-side-piston-trainer
Q18515478 0
Q1849445 colleges-and-universities-in-the-United-States
Q183146 Su-17
Q182076 credit
Q181767 0
Q18160172 0
Q18086523 humite-mineral-subgroup
Q1807522 vaginal-cancer
Q18064806 lomonosovite-mineral-group
Q18062511 Libelle
Q18033971 dodecahedral-pentagonal-polytope
Q18028619 9-polytope
Q1792895 cupola
Q178694 0
Q1784109 straight-four
Q178401 amphora
Q178059 0
Q1777769 0
Q1760958 cutting-tool
Q1759899 V-72-Vengeance
Q1759170 close-mid-vowel
Q1758690 municipal-police
Q175854 phobia
Q17584038 oral-media
Q175331 demonstration
Q17476643 H-3-Sea-King
Q17451 typeface
Q17450550 TA-4-Skyhawk
Q17448125 0
Q17412926 Lynx-HAS2
Q17372463 F-16A-Fighting-Falcon
Q173514 food-preservation
Q17335294 flag-or-coat-of-arms
Q17315183 Dutch-cheese
Q17278014 former-district-of-Switzerland
Q17273078 bosino
Q17210 container-ship
Q1716850 submarine-tender
Q17163412 4-8-2+2-8-4
Q171308 oblast
Q171 wiki
Q170305 satrap
Q170238 situation-comedy
Q170058 continuous-function
Q17000624 protected-area-of-Australia
Q16976601 immigration-minister
Q1691351 Lipomatosis
Q168658 doll
Q16861604 cities-and-towns-in-India
Q16814621 railway-coach
Q16744570 tablet
Q16727193 humanities-scholar
Q166118 archive
Q1659797 R-2600-Twin-Cyclone
Q1658486 Central-Tano-languages
Q16560 palace
Q164307 binary-operation
Q1640824 inscription
Q163629 Ethiopian-Semitic-languages
Q1630695 Motor-Torpedo-Boat
Q16274948 National-Women's-Soccer-League-award
Q1623006 keratoconjunctivitis
Q16219295 Hero-of-Labour
Q161804 Nuristani
Q16163440 Chief-Minister
Q16116235 central-Indo-Aryan-language
Q161 fiber
Q160034 0
Q1591686 BAe-125
Q159129 Sea-King
Q15911314 association
Q158668 private
Q15838655 King-Air-90
Q15838572 F.60-Goliath
Q15773347 film-character
Q15734684 0
Q15730631 taxon-name
Q15728 0
Q15720870 fictional-weapon
Q15710804 built-structure
Q15709879 artwork-series
Q15682104 0
Q15644067 IO-540
Q15636253 musculoskeletal-otomy
Q15636240 respiratory-otomy
Q15630906 rural-district
Q155899 L-39-Albatros
Q1554307 Gulfstream-III
Q15474042 MediaWiki-page
Q15411562 C-130E-Hercules
Q153861 tularemia
Q15294642 racing-car
Q152450 municipal-election
Q15218857 exotic-star
Q1518049 air-superiority-fighter
Q151432 F-4-Phantom-II
Q15139721 multigraph
Q15063160 administrative-territorial-entity-of-New-Zealand
Q15055423 administrative-territorial-entity-of-Bhutan
Q1502312 Polyneuropathy
Q1483594 0
Q1483354 Karluk-languages
Q1475825 GNU-variants
Q147576 Eastern-Romance-languages
Q14646051 temporal-interval
Q1454986 physical-system
Q14350 radio-station
Q143158 Malayo-Polynesian-languages
Q1431441 W-engine
Q1428777 Hart
Q14204246 Wikimedia-project-page
Q1414135 rolling-stock
Q1412505 pasta-filata
Q1407225 television-award
Q1393122 Metroliner
Q138858 entertainer
Q137559 Yantar
Q1362543 eruptive-variable-star
Q13590141 presenter
Q13516667 occupation
Q1351368 archive-file-format
Q13417114 noble-family
Q133585 airship
Q1333608 Medulloblastoma
Q133212 tumor
Q13292702 carbon-silicon-family
Q13270 biscuit
Q13218505 Radeon-HD-5000-Series
Q1318295 narrative
Q131557 amulet
Q131288 immigration
Q131257 intellectual-property
Q1300246 0
Q1293536 administrative-territorial-entity-of-Serbia
Q12773225 slave
Q12760 steam-engine
Q1269288 dysmelia
Q126793 retail
Q126351 Autobot
Q1261026 0
Q1252773 0
Q12511 stairs
Q1248784 airport
Q12370 salt
Q1235236 document-oriented-database
Q12323 dam
Q121750 gas-giant
Q121594 professor
Q1209283 electronic-media
Q1201835 Impulse-control-disorder
Q11990 reproduction
Q1194951 national-sports-team
Q1186981 supercarrier
Q1185562 light-aircraft-carrier
Q11635 theater
Q1159201 0
Q1156796 company-grade-officer
Q1146001 light-source
Q11435 liquid
Q11427 steel
Q11426 metal
Q1140046 mathematical-notation
Q1138526 Mirage-5
Q11352 angle
Q1128637 national-symbol
Q112608 Italo-Western-languages
Q1121708 failure
Q11158 acid
Q11072 amnesia
Q11035 telephone
Q11033 mass-media
Q10997658 non-volatile-memory
Q1097498 ruler
Q1093829 city-of-the-United-States
Q10871364 baseball-player
Q10863152 compact-sport-utility-vehicle
Q1081138 historic-site
Q107617 rotation
Q1075651 keyboardist
Q10714707 minister-of-science
Q1068842 footbridge
Q1066997 Weir
Q106693 group-14-element
Q106675 group-15-element
Q1063558 behavioral-pattern
Q1059564 cataclysmic-variable-star
Q1057172 fantasy-literature
Q105196 organ-transplantation
Q104567 group-16-elements
Q10430157 Minister-of-International-Cooperation
Q103184 article
Q10245062 0
Q1024275 CANT-Z.506-Airone
Q101487 ester
Q10131829 Category:Motorcycle-racing-templates
Q100026 F-16-Fighting-Falcon
Q987080 honorary-citizenship
Q986800 0
Q986260 V-speed
Q977787 gallbladder-cancer
Q976898 Vega
Q9759 0
Q974144 educator
Q9655 artery
Q9640723 commercial-aviation
Q96286 hydrolase
Q9592748 Category:Ukrainian-runners
Q951504 electric-machine
Q946596 off-road-vehicle
Q9465 ethics
Q943283 0
Q9410 werewolf
Q93732 0
Q93352 coast
Q9301 Serbo-Croatian
Q929833 rare-disease
Q922203 code
Q9080204 Galician-Portuguese
Q906937 Boeing-747-400
Q906492 dystonia
Q899412 seventh
Q891723 public-company
Q890192 Boeing-Model-40
Q8868858 0
Q879146 Christian-denomination
Q8750332 Category:Skiing-templates
Q8689323 Category:Runners-by-nationality
Q867147 0
Q8638235 0
Q8607888 0
Q858330 romance-novel
Q8559387 Category:Italy-city-templates
Q855385 Vickers-Vimy
Q854845 Earth-observation-satellite
Q854585 double-decker-bus
Q844947 0
Q839954 archaeological-site
Q8386 drug
Q8380731 terminology
Q8365567 Category:Christian-fraternities-and-sororities-by-country
Q833860 maid
Q832413 Kukish-languages
Q83147 chemical-formula
Q8218042 Category:Multi-sport-events-templates
Q81881 fork
Q81741 0
Q815688 Bell-412
Q81406 alkene
Q8091 grammar
Q80831 integrated-circuit
Q8068 flood
Q80083 humanities
Q7991 natural-science
Q7972781 WA-40
Q796496 0
Q796194 medical-procedure
Q7937 climate
Q791468 HS-748
Q78987 electric-guitar
Q7884998 uniform-2-k1-polytope
Q7860915 0
Q7856 rallying
Q7834013 transfer-locomotive
Q782700 pumpellyite-(M)-homologous-series
Q782543 graphical-user-interface
Q7770681 Category:Images-of-people-by-nationality
Q7642168 super-battleship
Q7622988 street-artist
Q754655 Locus-Award
Q7524253 Singular-point-of-an-algebraic-variety
Q752392 rail-motor-coach
Q750130 0
Q749986 Bell-222
Q7434 uniform
Q742782 Lechitic-languages
Q742500 Methylmalonic-acidemia
Q737498 academic-journal
Q735256 spline
Q7309614 regular-polychoron
Q727306 chabazite-(metal)-series
Q7252 feminism
Q721007 Gurunsi-languages
Q7169501 peroxisomal-disorder
Q7144270 Category:Geography-and-place-navigational-boxes
Q714326 C-47-Skytrain
Q7103768 Category:France-templates
Q7096781 Category:Italy-templates
Q7096659 Category:England-templates
Q699843 Challenger-600
Q6942562 musical-performance
Q694131 0
Q6936349 municipal-president
Q6869195 minor-physical-anomaly
Q6815404 0
Q6804034 0
Q677122 Constellation
Q677020 O-540
Q6749571 0
Q6740431 Makua-languages
Q667988 Learjet-35/36
Q6664406 local-government-in-Pennsylvania
Q6664400 local-government-in-New-Jersey
Q661819 Beechcraft-1900
Q660019 pelite
Q659216 aerophone
Q6578006 Category:Russia-templates
Q652928 0
Q650761 landing-helicopter-dock
Q648123 Town-class-cruiser
Q646 thermometer
Q644997 water-turbine
Q643589 0
Q643532 anti-ship-missile
Q6426030 0
Q6382533 battalion
Q636099 second
Q631931 decorative-arts
Q629206 computer-language
Q62447 aerodrome
Q6243 variable-star
Q623031 liver-cancer
Q622852 domesticated-animal
Q621431 Cthulhu-Mythos-deities
Q620207 finger
Q6156156 geochronological-unit
Q611644 Catholic-bishop
Q610237 special-purpose-district-of-the-United-States
Q6042366 0
Q600590 tuple
Q600571 abuse
Q5989812 ancient-Greek-magistrate
Q595298 sheaf
Q593283 Molniya
Q593050 concertina
Q590870 cinematography
Q588274 trigonal-crystal-system
Q5875 giant-star
Q58725 T-33-Shooting-Star
Q584265 cephalic-disorder
Q583865 0
Q580290 Spinal-muscular-atrophy
Q5767753 style
Q573994 MG-08
Q56466 Dinka-language
Q5614410 Category:Association-football-templates
Q551997 wire
Q5506416 0
Q549276 flotilla
Q5463334 flying/sporting-pigeon
Q540912 food-industry
Q5372 basketball
Q53706 robbery
Q5330160 Eastern-Grassfields-languages
Q5287670 documentary-film-festivals
Q5254073 0
Q52383 droid
Q52371 regiment
Q5218 Quechua-languages
Q51724 Jedi
Q5090 rice
Q505198 Songhay-languages
Q504154 0
Q50053 binary-star
Q4959031 appellate-court
Q4883194 Huey
Q487837 Coccidiosis
Q485417 0
Q485027 personal-armor
Q484876 chief-executive-officer
Q484827 anal-cancer
Q483569 0
Q480500 German-Type-IX-submarine
Q4781026 appendix-cancer
Q4748200 amphibious-cargo-ship
Q474748 amphibious-assault-ship
Q4741595 Upper-North-Sea-Group
Q473625 regional-airliner
Q473227 cubic-crystal-system
Q473094 fast-battleship
Q46831 mountain-range
Q467635 multiple-myeloma
Q46622 controlled-access-highway
Q463359 convex-optimization
Q4594605 magistrate
Q45621 ceramic
Q4531153 0
Q450478 RB.53-Dart
Q45045 0
Q4502142 art-image
Q44891 breaking-ball
Q4373292 physical-property
Q4359230 character-from-James-Bond-series
Q43483 water-well
Q429220 pink
Q428778 transactinide-element
Q42519 gray
Q42501 combustible-matter
Q424288 transaminase
Q42372 nebula
Q422960 nucleobase
Q4202 neutron-star
Q4189293 0
Q41425 ballet
Q41083 syphilis
Q409485 neuraminidase
Q408939 nucleotidyltransferase
Q40878 diarrhea
Q40843 0
Q40763 0
Q40634 philology
Q4042967 0
Q4027938 0
Q402330 unmanned-resupply-spacecraft
Q400144 planemo
Q3977909 apatite-supergroup
Q3962 laptop
Q3957 town
Q3940376 Gem
Q3924425 combined-events
Q391022 research-vessel
Q388906 0
Q387914 halon
Q3847476 truncation
Q3842034 DC-motor
Q383695 flight-training
Q381885 tomb
Q381208 Aero-A.11
Q381162 MB-339
Q37901 strait
Q3777884 zircon-mineral-group
Q3777867 wurtzite-mineral-group
Q3777865 wollastonite-mineral-group
Q3777850 vivianite-mineral-group
Q3777846 turquoise-mineral-group
Q3777839 trippkeite-mineral-group
Q3777836 thortveitite-mineral-group
Q3777815 scorodite-mineral-group
Q3777810 scheelite-mineral-group
Q3777796 rhabdophane-mineral-group
Q3777793 reddingite-mineral-group
Q3777790 pyrosmalite-mineral-group
Q3777786 pumpellyite-mineral-group
Q3777765 nordite-mineral-group
Q3777745 melanterite-mineral-group
Q3777742 matlockite-mineral-group
Q3777736 ludwigite-mineral-group
Q3777729 lazulite-mineral-group
Q3777716 koritnigite-mineral-group
Q3777690 fillowite-mineral-group
Q3777686 gypsum-mineral-group
Q3777677 dolomite-mineral-group
Q3777672 djerfisherite-mineral-group
Q3777662 columbite-mineral-subgroup
Q3777658 chevkinite-mineral-group
Q3777657 cervantite-mineral-group
Q3777650 chalcopyrite-mineral-group
Q3777640 brucite-mineral-group
Q3777631 bjarebyite-mineral-group
Q3777602 ekanite-mineral-group
Q3777598 ilesite-mineral-group
Q3777586 hilairite-mineral-group
Q3777585 hellandite-mineral-group
Q3777570 epidote-supergroup
Q3777559 atacamite-mineral-group
Q3777556 arthurite-mineral-group
Q3777554 arseniosiderite-mineral-group
Q3777524 talc-mineral-group
Q3777513 periclase-mineral-group
Q375928 lower-house
Q373342 popular-music
Q371174 gesture
Q3695082 sign
Q3667566 0
Q36510 Modern-Greek
Q36253 length
Q3624078 sovereign-state
Q3621491 archaeologist
Q35984 Maban-languages
Q358738 shuttle-roller-coaster
Q35869 asthma
Q35798 executive-branch
Q357104 military-exercise
Q3552958 differentiable-manifold
Q35455 Bikol-languages
Q3477288 0
Q3469910 performing-arts-venue
Q34687 0
Q34396 0
Q341 free-software
Q34070 Tupian-languages
Q34030 Kartvelian-languages
Q34023 tumulus
Q3391214 0
Q33875 Ojibwe
Q33795 Senufo-languages
Q337657 0
Q337540 motor-fuel
Q33669 Oto-Manguean-languages
Q3358290 pyramid
Q33527 Iranian-languages
Q33454 Fula-language
Q3337312 support-ship
Q3330995 administrative-territorial-entity-of-Nigeria
Q3315113 minister-of-war
Q33090 Cariban-languages
Q33019 Chonan-languages
Q330129 Franconian-Dialect
Q327029 mechanic
Q3269254 flat-four
Q3266850 comune
Q324457 Oceanic-languages
Q3244549 fictional-plant
Q324254 ontology
Q3237993 0
Q3231690 car-model
Q3217517 Sabahan-languages
Q3217485 Minahasan-languages
Q3211647 Condottieri-class-cruiser
Q319226 adventure-fiction
Q31728 0
Q3147057 Order-of-the-Million-Elephants-and-the-White-Parasol
Q3144913 hemangiopericytoma
Q3134277 abdominal-hernia
Q312541 Dornier-228
Q3114989 Western-Nilotic-languages
Q3113762 Tacanan-languages
Q3110592 written-Chinese
Q31029 0
Q3100680 O2U-Corsair
Q3099723 Minister-President
Q3059502 critique
Q304895 full-size-car
Q300033 ATPase
Q2997615 Pyoderma
Q2934 0
Q29261 F-35-Lightning-II
Q2916486 administrative-territorial-entity-of-Turkey
Q290649 List-of-communities-in-British-Columbia
Q2839017 antisemitic-canard
Q282472 anti-tank-missile
Q2823314 tricarboxylic-acid
Q28055 BT-13-Valiant
Q27796 Inuit-languages
Q277466 0
Q276173 pavilion
Q27475 Athabaskan-languages
Q2738846 microlite
Q273510 Candidiasis
Q27318 test
Q2727213 theft
Q2726038 administrative-territorial-entity-of-Iran
Q2684591 statement
Q267298 battery
Q2668072 collection
Q2660305 Bell-205
Q2658935 beauty-contest
Q263786 Viggen
Q263421 0
Q2609152 acyltransferase
Q255503 0
Q2488 spiral-galaxy
Q24862 short-film
Q2485866 zonohedron
Q2484376 thriller-film
Q2466103 guard-ship
Q2449671 0
Q24489 coal
Q243669 administrative-territorial-entity-of-Slovakia
Q2407588 2-10-4
Q240673 cost
Q2393187 molecular-entity
Q238533 history-of-the-Netherlands
Q2368525 0
Q23526 Slavic-languages
Q234870 optical-disc
Q234538 glottal-consonant
Q233132 twinjet
Q2310214 pitch
Q2309784 bicycle-racer
Q2300099 gastrointestinal-disease
Q2267856 personal-testimonial
Q2266509 hardwood
Q22649 antisemitism
Q2257775 0
Q224989 0
Q224169 fifth
Q224074 third
Q223655 tree
Q2227623 P.531
Q221375 Hellenistic-art
Q2210277 chess-tournament
Q219423 mural
Q217380 Nicobarese-languages
Q2173366 0
Q215536 merchant
Q2143825 walking-path
Q2141342 Languages-constructed-by-J.-R.-R.-Tolkien
Q214070 physical-law
Q2133344 space-mission
Q213283 diplomatic-mission
Q212829 0
Q21168703 0
Q21140826 0
Q211387 Soldering
Q21082523 acrofacial-dysostosis
Q21073947 kin
Q210427 cerebral-palsy
Q21014438 G.91R
Q21010966 water-flush
Q21005 0
Q209042 Harrow
Q207643 linear-map
Q206989 shooting-sport
Q206286 DNA-polymerase
Q206229 biomolecule
Q206021 0
Q203872 being
Q2038371 Labyrinthitis
Q203789 stove
Q201714 tunic
Q201299 hairy-cell-leukemia
Q20127274 certain-aspects-of-a-person's-life
Q201022 folk-dance
Q20087093 portable-light-source
Q20080358 vocal-sound
Q200741 teratoma
Q2003852 Starship
Q20036021 turboplane
Q2001676 military-offensive
Q19991228 R4D-Skytrain
Q19857916 carminite-mineral-group
Q19833563 fictional-turtle
Q19823288 Kommanditgesellschaft-auf-Aktien
Q1981276 neuroendocrine-tumor
Q19795669 tumbler
Q19786852 TL-2000
Q19772737 electoral-candidate
Q19759076 General
Q19753730 Australian-rules-football-match
Q19723444 cell-phone-model
Q19671714 lineal-descendant
Q196538 microscope
Q19635 trojan-asteroid
Q1962993 0
Q1959825 scale
Q1958838 space-tug
Q194195 amusement-park
Q19361238 metaclass
Q193468 van
Q19340620 Christian-priest
Q193086 halide
Q19292144 brig-sloop
Q19202739 PW-9
Q191163 landscape-art
Q191067 article
Q190463 0
Q190438 dwarf-galaxy
Q190429 depression
Q1900167 psychotherapist
Q19001338 iridocyclitis
Q19001135 oropharynx-cancer
Q19001132 collagen-disease
Q19001107 polycythemia
Q19000661 congestive-heart-failure
Q19000515 pituitary-gland-disease
Q189819 ritual
Q18975839 non-langerhans-cell-histiocytosis
Q18975324 nervous-system-cancer
Q18975068 corneal-dystrophy
Q18975044 splenic-disease
Q18966167 bone-disease
Q189082 cell-culture
Q188524 tensor
Q188504 alternative-medicine
Q188451 music-genre
Q1882478 Classic-Mac-OS
Q188 German
Q1870975 Fasciitis
Q186165 web-portal
Q186020 coronary-artery-bypass-surgery
Q1857574 Quartic-plane-curve
Q18558199 vitreous-disease
Q18558188 senile-cataract
Q18558122 acute-myocardial-infarction
Q18558032 skin-melanoma
Q18557992 vein-disease
Q18557957 bullous-skin-disease
Q18557617 small-intestine-neoplasm
Q18557557 urethra-cancer
Q18557544 urethral-benign-neoplasm
Q18557246 malignant-choroid-melanoma
Q18557172 follicular-adenoma
Q18557148 primary-immunodeficiency-disease
Q18557091 microglandular-adenosis
Q18557050 apocrine-sweat-gland-neoplasm
Q18557049 retroperitoneal-cancer
Q18556969 mononeuritis-of-upper-limb-and-mononeuritis-multiplex
Q18556932 large-intestine-cancer
Q18556864 testicular-malignant-germ-cell-cancer
Q18556834 penis-squamous-cell-carcinoma
Q18556753 ovarian-primitive-germ-cell-tumor
Q18556593 pineal-gland-cancer
Q18556561 ureter-carcinoma
Q18556554 intrahepatic-cholangiocarcinoma
Q18556466 sex-cord-stromal-neoplasm
Q18556448 infratentorial-cancer
Q18556385 lung-large-cell-carcinoma
Q18556249 conjunctival-disease
Q18556244 kidney-sarcoma
Q18556224 glucose-metabolism-disease
Q18556206 bile-duct-disease
Q18556191 heart-valve-disease
Q18556189 pancreas-adenocarcinoma
Q18556166 gastrointestinal-tuberculosis
Q18556135 papillary-thyroid-carcinoma
Q18556131 thyroid-carcinoma
Q18556128 adrenal-gland-cancer
Q18556047 gastric-adenocarcinoma
Q18556039 fallopian-tube-adenocarcinoma
Q18556034 cervical-mucinous-adenocarcinoma
Q18556020 lung-benign-neoplasm
Q18555970 cerebral-arterial-disease
Q18555956 pancreatic-ductal-adenocarcinoma
Q18555222 endometrial-carcinoma
Q18555150 sweat-gland-neoplasm
Q18555112 hemangioma-of-intra-abdominal-structure
Q18555097 congenital-nervous-system-abnormality
Q18555092 chronic-conjunctivitis
Q18555089 psychotic-disorder
Q18555070 iris-disease
Q18555011 ovary-sarcoma
Q18554993 vulvar-sarcoma
Q18554948 fallopian-tube-carcinoma
Q18554938 sex-differentiation-disease
Q18554870 malignant-pineal-area-germ-cell-neoplasm
Q18554726 ureteral-disease
Q18554635 visual-pathway-disease
Q18554319 globe-disease
Q18554211 peripheral-nervous-system-neoplasm
Q18554064 scleral-disease
Q18553852 lymphoblastic-leukemia
Q18553740 bone-structure-disease
Q18553670 fallopian-tube-benign-neoplasm
Q18553662 central-nervous-system-primitive-neuroectodermal-neoplasm
Q18553651 central-nervous-system-organ-benign-neoplasm
Q18553634 lymphatic-system-cancer
Q18553617 paraphilia-disorder
Q18553616 sexual-disorder
Q18553414 childhood-electroclinical-syndrome
Q18553411 electroclinical-syndrome
Q18552499 single-engine-piston-strike-aircraft
Q18552419 biplane-trainer
Q18550 Mafia
Q18544860 Discworld-character
Q18520250 P-12
Q18520230 F4B
Q18507336 triplane-fighter
Q185003 Jew's-harp
Q1849719 municipal-formation-in-Russia
Q1847641 facial-hair
Q184759 character-encoding
Q184651 toxin
Q184567 minor-scale
Q184204 macrofago
Q18396734 smoked-food
Q18379889 narrow-body-quadjet-airliner
Q183427 hash-function
Q18342499 agricultural-building
Q18327510 fictional-robot-or-automaton
Q182832 concert
Q182436 librarian
Q1821559 Leukodystrophy
Q18195680 style-of-shoe
Q18182634 marcasite-mineral-subgroup
Q181391 alopecia
Q181257 prostate-cancer
Q181156 software-design-pattern
Q18077464 herbertsmithite-mineral-group
Q18068089 US-2-Tracker
Q18061185 tridecagram
Q18058007 olivine-structural-group
Q18043466 datolite-mineral-subgroup
Q18043443 historic-place-of-Newfoundland-and-Labrador
Q18028624 10-polytope
Q180253 fuel-cell
Q18011068 MB-326K-Veltro
Q179651 gamma
Q179348 ballistic-missile
Q179289 causality
Q1792644 style
Q178794 watch
Q178743 stele
Q1786828 constituent
Q178561 battle
Q178193 steamboat
Q1781084 Koman-languages
Q1780748 Compact-MPV
Q1779767 open-mid-vowel
Q177826 clergy
Q17736 axiom
Q176483 0
Q17624054 fictional-deity
Q17619252 Senator-of-Belgium
Q17587776 aspect-of-sound
Q1757661 Saharan-languages
Q17518870 group-of-literary-works
Q17516 street-art
Q17501813 Typhoon-S
Q1748964 Zenit
Q1746926 0
Q17438173 SA-316-Alouette-III
Q17422887 aircraft-communications-device
Q17412947 Lynx-HAS3
Q173799 entertainment
Q17379525 pottery-ware
Q17372514 Mi-24V
Q173517 grenade
Q172980 0
Q17172602 monumental-cross
Q17116096 hard-candy
Q170758 0
Q170518 burn
Q170028 0
Q1695400 algebraic-group
Q169534 division
Q16686448 artificial-object
